GEO.id,GEO.id2,GEO.display-label,HC01_VC146,HC01_VC151,HC01_VC150,HC01_VC149,HC01_VC156,HC01_VC155,HC01_VC154,HC01_VC164,HC01_VC166,HC01_VC165,HC01_VC161,HC01_VC162,HC01_VC163,HC01_VC160,HC01_VC101,HC01_VC100,HC01_VC142,HC01_VC141,HC01_VC140,HC01_VC77,HC01_VC78,HC01_VC80,HC01_VC79,HC01_VC81,HC01_VC76,HC01_VC120,HC01_VC122,HC01_VC124,HC01_VC125,HC01_VC123,HC01_VC121,HC01_VC126,HC01_VC119,HC01_VC28,HC01_VC30,HC01_VC32,HC01_VC31,HC01_VC27,HC01_VC29,HC01_VC26,HC01_VC133,HC01_VC134,HC01_VC132,HC01_VC135,HC01_VC131,HC01_VC136,HC01_VC130,HC01_VC40,HC01_VC39,HC01_VC38,HC01_VC37,HC01_VC41,HC01_VC36,HC01_VC47,HC01_VC46,HC01_VC45,HC01_VC44,HC01_VC48,HC01_VC43,HC01_VC175,HC01_VC174,HC01_VC181,HC01_VC180,HC01_VC177,HC01_VC176,HC01_VC173,HC01_VC172,HC01_VC171,HC01_VC179,HC01_VC178,HC01_VC170,HC01_VC14,HC01_VC13,HC01_VC12,HC01_VC05,HC01_VC07,HC01_VC06,HC01_VC09,HC01_VC08,HC01_VC11,HC01_VC10,HC01_VC04,HC01_VC03,HC01_VC17,HC01_VC18,HC01_VC21,HC01_VC22,HC01_VC72,HC01_VC71,HC01_VC70,HC01_VC65,HC01_VC68,HC01_VC67,HC01_VC66,HC01_VC63,HC01_VC62,HC01_VC54,HC01_VC53,HC01_VC58,HC01_VC57,HC01_VC55,HC01_VC56,HC01_VC52,HC01_VC89,HC01_VC86,HC01_VC88,HC01_VC92,HC01_VC91,HC01_VC90,HC01_VC87,HC01_VC85,HC01_VC109,HC01_VC108,HC01_VC106,HC01_VC105,HC01_VC115,HC01_VC114,HC01_VC112,HC01_VC111,HC01_VC212,HC01_VC211,HC01_VC210,HC01_VC209,HC01_VC208,HC01_VC207,HC01_VC206,HC01_VC205,HC01_VC204,HC01_VC203,HC01_VC202,HC01_VC201,HC01_VC200,HC01_VC199,HC01_VC198,HC01_VC197,HC01_VC196,HC01_VC195,HC01_VC194,HC01_VC193,HC01_VC192,HC01_VC191,HC01_VC190,HC01_VC189,HC01_VC188,HC01_VC187,HC01_VC186,HC01_VC185
Id,Id2,Geography,Estimate; YEAR OF ENTRY - Population born outside the United States,Estimate; YEAR OF ENTRY - Native - Entered before 2010,Estimate; YEAR OF ENTRY - Native - Entered 2010 or later,Estimate; YEAR OF ENTRY - Native,Estimate; YEAR OF ENTRY - Foreign born - Entered before 2010,Estimate; YEAR OF ENTRY - Foreign born - Entered 2010 or later,Estimate; YEAR OF ENTRY - Foreign born,"Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Oceania","Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Northern America","Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Latin America","Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Europe","Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Asia","Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea - Africa","Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea",Estimate; VETERAN STATUS - Civilian population 18 years and over - Civilian veterans,Estimate; VETERAN STATUS - Civilian population 18 years and over,Estimate; U.S. CITIZENSHIP STATUS - Foreign-born population - Not a U.S. citizen,Estimate; U.S. CITIZENSHIP STATUS - Foreign-born population - Naturalized U.S. citizen,Estimate; U.S. CITIZENSHIP STATUS - Foreign-born population,"Estimate; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Nursery school, preschool",Estimate; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Kindergarten,Estimate; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - High school (grades 9-12),Estimate; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - Elementary school (grades 1-8),Estimate; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school - College or graduate school,Estimate; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school,Estimate; RESIDENCE 1 YEAR AGO - Population 1 year and over - Same house,Estimate; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Same county,Estimate; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Different county - Same state,Estimate; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Different county - Different state,Estimate; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Different county,Estimate; RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S.,Estimate; RESIDENCE 1 YEAR AGO - Population 1 year and over - Abroad,Estimate; RESIDENCE 1 YEAR AGO - Population 1 year and over,Estimate; RELATIONSHIP - Population in households - Spouse,Estimate; RELATIONSHIP - Population in households - Other relatives,Estimate; RELATIONSHIP - Population in households - Nonrelatives - Unmarried partner,Estimate; RELATIONSHIP - Population in households - Nonrelatives,Estimate; RELATIONSHIP - Population in households - Householder,Estimate; RELATIONSHIP - Population in households - Child,Estimate; RELATIONSHIP - Population in households,Estimate; PLACE OF BIRTH - Total population - Native - Born in United States - State of residence,Estimate; PLACE OF BIRTH - Total population - Native - Born in United States - Different state,Estimate; PLACE OF BIRTH - Total population - Native - Born in United States,"Estimate; PLACE OF BIRTH - Total population - Native - Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Estimate; PLACE OF BIRTH - Total population - Native,Estimate; PLACE OF BIRTH - Total population - Foreign born,Estimate; PLACE OF BIRTH - Total population,Estimate; MARITAL STATUS - Males 15 years and over - Widowed,Estimate; MARITAL STATUS - Males 15 years and over - Separated,"Estimate; MARITAL STATUS - Males 15 years and over - Now married, except separated",Estimate; MARITAL STATUS - Males 15 years and over - Never married,Estimate; MARITAL STATUS - Males 15 years and over - Divorced,Estimate; MARITAL STATUS - Males 15 years and over,Estimate; MARITAL STATUS - Females 15 years and over - Widowed,Estimate; MARITAL STATUS - Females 15 years and over - Separated,"Estimate; MARITAL STATUS - Females 15 years and over - Now married, except separated",Estimate; MARITAL STATUS - Females 15 years and over - Never married,Estimate; MARITAL STATUS - Females 15 years and over - Divorced,Estimate; MARITAL STATUS - Females 15 years and over,"Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Spanish - Speak English less than ""very well""",Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Spanish,"Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other languages - Speak English less than ""very well""",Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other languages,"Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other Indo-European languages - Speak English less than ""very well""",Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Other Indo-European languages,"Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Language other than English - Speak English less than ""very well""",Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Language other than English,Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - English only,"Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Asian and Pacific Islander languages - Speak English less than ""very well""",Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over - Asian and Pacific Islander languages,Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over,Estimate; HOUSEHOLDS BY TYPE - Total households - Nonfamily households - Householder living alone - 65 years and over,Estimate; HOUSEHOLDS BY TYPE - Total households - Nonfamily households - Householder living alone,Estimate; HOUSEHOLDS BY TYPE - Total households - Nonfamily households,Estimate; HOUSEHOLDS BY TYPE - Total households - Family households (families) - With own children of the householder under 18 years,Estimate; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Married-couple family - With own children of the householder under 18 years,Estimate; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Married-couple family,"Estimate; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Male householder, no wife present, family - With own children of the householder under 18 years","Estimate; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Male householder, no wife present, family","Estimate; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Female householder, no husband present, family - With own children of the householder under 18 years","Estimate; HOUSEHOLDS BY TYPE - Total households - Family households (families) - Female householder, no husband present, family",Estimate; HOUSEHOLDS BY TYPE - Total households - Family households (families),Estimate; HOUSEHOLDS BY TYPE - Total households,Estimate; HOUSEHOLDS BY TYPE - Households with one or more people under 18 years,Estimate; HOUSEHOLDS BY TYPE - Households with one or more people 65 years and over,Estimate; HOUSEHOLDS BY TYPE - Average household size,Estimate; HOUSEHOLDS BY TYPE - Average family size,Estimate; GRANDPARENTS - Number of grandparents responsible for own grandchildren under 18 years - Who are married,Estimate; GRANDPARENTS - Number of grandparents responsible for own grandchildren under 18 years - Who are female,Estimate; GRANDPARENTS - Number of grandparents responsible for own grandchildren under 18 years,Estimate; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Years responsible for grandchildren - Less than 1 year,Estimate; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Years responsible for grandchildren - 5 or more years,Estimate; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Years responsible for grandchildren - 3 or 4 years,Estimate; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Years responsible for grandchildren - 1 or 2 years,Estimate; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years - Grandparents responsible for grandchildren,Estimate; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years,"Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Unmarried women (widowed, divorced, and never married) - Per 1,000 unmarried women","Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Unmarried women (widowed, divorced, and never married)","Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 35 to 50 years old","Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 20 to 34 years old","Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 15 to 50 years old","Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months - Per 1,000 women 15 to 19 years old",Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months,"Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Some college, no degree",Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Less than 9th grade,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - High school graduate (includes equivalency),Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Graduate or professional degree,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Bachelor's degree,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Associate's degree,"Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - 9th to 12th grade, no diploma",Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over,Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Under 18 years - With a disability,Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Under 18 years,Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Total Civilian Noninstitutionalized Population - With a disability,Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Total Civilian Noninstitutionalized Population,Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 65 years and over - With a disability,Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 65 years and over,Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 18 to 64 years - With a disability,Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 18 to 64 years,Estimate; ANCESTRY - Total population - West Indian (excluding Hispanic origin groups),Estimate; ANCESTRY - Total population - Welsh,Estimate; ANCESTRY - Total population - Ukrainian,Estimate; ANCESTRY - Total population - Swiss,Estimate; ANCESTRY - Total population - Swedish,Estimate; ANCESTRY - Total population - Subsaharan African,Estimate; ANCESTRY - Total population - Slovak,Estimate; ANCESTRY - Total population - Scottish,Estimate; ANCESTRY - Total population - Scotch-Irish,Estimate; ANCESTRY - Total population - Russian,Estimate; ANCESTRY - Total population - Portuguese,Estimate; ANCESTRY - Total population - Polish,Estimate; ANCESTRY - Total population - Norwegian,Estimate; ANCESTRY - Total population - Lithuanian,Estimate; ANCESTRY - Total population - Italian,Estimate; ANCESTRY - Total population - Irish,Estimate; ANCESTRY - Total population - Hungarian,Estimate; ANCESTRY - Total population - Greek,Estimate; ANCESTRY - Total population - German,Estimate; ANCESTRY - Total population - French Canadian,Estimate; ANCESTRY - Total population - French (except Basque),Estimate; ANCESTRY - Total population - English,Estimate; ANCESTRY - Total population - Dutch,Estimate; ANCESTRY - Total population - Danish,Estimate; ANCESTRY - Total population - Czech,Estimate; ANCESTRY - Total population - Arab,Estimate; ANCESTRY - Total population - American,Estimate; ANCESTRY - Total population
0500000US21001,21001,"Adair County, Kentucky",276,65,9,74,155,47,202,0,27,112,10,53,0,202,1197,15245,151,51,202,74,237,1068,1753,1849,4981,16857,735,952,454,1406,2141,26,19024,3933,897,245,623,7126,5308,17887,14720,4160,18880,74,18954,202,19156,143,156,4262,2339,900,7800,1095,123,4170,1877,884,8149,158,293,5,25,15,54,182,383,17820,4,11,18203,858,1992,2192,1762,1317,3951,113,250,332,733,4934,7126,1953,2211,2.51,3.05,164,109,191,101,47,22,21,191,306,8,18,24,93,50,12,219,1986,1527,4639,985,1118,961,1537,12753,231,3850,3431,18870,1486,3117,1714,11903,8,82,5,0,87,29,0,398,155,44,6,205,70,0,152,1929,51,6,1791,17,358,3961,122,24,6,14,3248,19156
0500000US21003,21003,"Allen County, Kentucky",537,329,0,329,189,19,208,10,14,124,5,55,0,208,1398,15526,153,55,208,207,359,1149,2115,614,4444,17340,1670,732,420,1152,2822,78,20240,4479,1098,293,623,7705,6303,20208,13699,6185,19884,329,20213,208,20421,260,91,4686,2207,814,8058,759,187,4767,1462,1138,8313,159,251,0,0,318,1151,477,1417,17769,0,15,19186,848,1922,2144,2397,1771,4447,191,301,435,813,5561,7705,2575,2259,2.62,3.14,163,79,191,10,68,76,37,191,413,32,58,2,119,48,0,221,2630,1531,4950,763,1122,1100,1731,13827,239,4895,3993,20236,1313,3143,2441,12198,0,74,0,119,136,0,8,303,246,27,0,260,30,9,320,1877,51,198,2497,11,364,1927,397,13,23,0,3462,20421
0500000US21005,21005,"Anderson County, Kentucky",254,34,0,34,211,9,220,0,0,162,58,0,0,220,1613,16571,201,19,220,253,406,1219,2402,685,4965,18787,1269,1393,61,1454,2723,11,21521,4749,1137,713,1169,8554,6153,21762,17784,3829,21613,34,21647,220,21867,211,187,4984,1824,1230,8436,727,171,4847,1646,1677,9068,29,139,0,4,18,113,47,264,20281,0,8,20545,998,2084,2538,2551,1804,4773,181,333,566,910,6016,8554,2855,2222,2.54,3,252,126,267,76,91,70,30,267,554,33,78,26,138,62,0,314,3260,612,5930,956,1879,1245,1088,14970,187,5293,3419,21759,1216,3003,2016,13463,62,386,6,13,49,0,0,845,592,5,0,202,83,46,556,3242,21,35,3081,19,453,2901,131,86,19,0,3793,21867
0500000US21007,21007,"Ballard County, Kentucky",210,69,0,69,133,8,141,0,0,19,50,69,3,141,608,6389,17,124,141,125,66,428,898,373,1890,7458,248,226,194,420,668,0,8126,1716,427,148,496,3252,2206,8097,4977,3029,8006,69,8075,141,8216,131,60,1802,915,405,3313,424,74,1833,582,515,3428,0,33,0,0,0,166,5,241,7549,5,42,7790,480,993,1118,767,522,1716,42,114,203,304,2134,3252,971,1157,2.49,3.04,62,70,111,40,37,13,21,111,208,28,23,0,106,49,58,83,1430,222,2120,356,524,540,574,5766,132,1821,1155,8091,521,1526,502,4744,0,34,0,17,5,0,0,202,146,6,3,52,22,2,105,988,0,51,934,2,275,694,106,0,24,7,1505,8216
0500000US21009,21009,"Barren County, Kentucky",909,142,9,151,618,140,758,0,23,458,114,163,0,758,2528,32982,589,169,758,497,542,2350,4591,2050,10030,36938,3715,1353,687,2040,5755,24,42717,8894,2631,621,1720,16766,12528,42539,33799,8579,42378,151,42529,758,43287,470,308,9628,4342,2045,16793,2117,455,9113,3643,2718,18046,242,938,0,0,226,404,554,1537,39004,86,195,40541,1996,4628,5211,4787,3203,8865,257,572,1327,2118,11555,16766,5306,4737,2.54,3.08,451,290,526,151,263,0,112,526,923,35,165,16,97,50,36,482,5556,2485,11918,1843,2725,2002,2887,29416,799,10245,8407,42548,2835,6790,4773,25513,0,283,7,65,553,58,24,983,722,0,0,301,99,0,784,3832,46,9,3376,53,650,5014,427,96,34,66,9561,43287
0500000US21011,21011,"Bath County, Kentucky",173,28,18,46,114,13,127,0,0,114,0,13,0,127,581,9077,110,17,127,133,56,637,1586,449,2861,10166,1008,664,116,780,1788,44,11998,2368,897,366,619,4450,3671,12005,9786,2154,11940,46,11986,127,12113,124,140,2544,1272,610,4690,673,269,2442,953,594,4931,61,215,0,0,29,84,96,330,10995,6,31,11325,529,1062,1327,1148,788,2366,109,166,251,591,3123,4450,1350,1377,2.7,3.22,56,84,113,34,45,16,18,113,207,42,45,3,75,39,60,105,1242,911,3250,293,689,667,1063,8115,163,3034,2749,12016,870,1859,1716,7123,0,64,0,62,96,19,0,335,66,15,0,26,5,0,72,1321,0,43,1114,3,88,1107,80,0,0,0,2574,12113
0500000US21013,21013,"Bell County, Kentucky",207,79,0,79,83,45,128,14,0,45,30,39,0,128,1598,21684,74,54,128,527,358,1488,2541,1106,6020,24625,1691,649,449,1098,2789,0,27414,4608,2384,662,1101,10978,7658,26729,21718,5751,27469,79,27548,128,27676,434,430,5227,3190,1679,10960,1783,408,5245,2384,1953,11773,57,129,0,0,91,121,166,323,25706,18,73,26029,1554,3368,3874,3027,1824,4618,250,663,953,1823,7104,10978,3521,3556,2.43,3.06,328,263,469,112,193,68,96,469,781,46,143,8,94,44,24,279,2914,2983,7098,926,929,1369,3209,19428,412,5965,8745,26845,2926,4625,5407,16255,0,23,0,9,40,8,0,287,218,0,0,158,30,0,181,2346,1,47,1501,8,195,1410,136,6,0,3,5418,27676
0500000US21015,21015,"Boone County, Kentucky",6267,602,164,766,4501,1000,5501,77,246,1676,610,2336,556,5501,8225,91260,3317,2184,5501,2766,1712,7362,15960,6445,34245,104654,8680,5748,4392,10140,18820,834,124308,26687,7091,2490,4354,45649,40876,124657,66385,53004,119389,766,120155,5501,125656,896,626,28747,13175,4209,47653,3499,971,27891,11013,6014,49388,1534,3012,236,657,482,1582,3396,7338,109681,1144,2087,117019,3209,9104,11113,16691,12023,26659,1521,2502,3147,5375,34536,45649,18161,9961,2.73,3.16,987,593,1177,257,590,164,166,1177,2649,29,377,21,113,54,8,1654,20506,2093,22004,8952,16373,7490,4115,81533,1547,34208,13840,124674,5300,13766,6993,76700,168,1277,161,171,709,730,112,2919,1367,297,355,2221,1082,153,4641,21220,404,317,38426,347,2626,13113,1604,373,196,301,10010,125656
0500000US21017,21017,"Bourbon County, Kentucky",1018,31,0,31,889,98,987,0,6,753,146,70,12,987,1334,15410,769,218,987,284,216,1092,2023,730,4345,17051,1554,824,324,1148,2702,0,19753,3635,1339,546,1158,8043,5587,19762,15539,3447,18986,31,19017,987,20004,338,150,3825,2437,1092,7842,826,243,3878,1988,1479,8414,742,1051,0,0,35,83,832,1189,17607,55,55,18796,951,2339,2802,2327,1420,3683,198,489,709,1069,5241,8043,2614,2407,2.46,3.02,161,152,237,97,97,9,34,237,365,77,183,8,149,73,91,322,2986,929,5194,880,1588,1015,1287,13879,186,4594,3027,19773,1266,3395,1575,11784,0,89,19,38,43,0,0,314,313,13,7,133,65,22,229,2198,20,1,2488,59,330,1721,359,30,5,23,5468,20004
