,COUNTY
JEFFERSON,120
FAYETTE,107
KENTON,95
CAMPBELL,86
MADISON,84
BOYD,75
MONTGOMERY,75
BELL,75
WARREN,73
BOONE,72
FLOYD,71
LAUREL,70
PULASKI,70
FRANKLIN,69
HARLAN,69
PIKE,68
BARREN,66
ROCKCASTLE,66
HARDIN,65
MCCRACKEN,65
BULLITT,64
WHITLEY,64
CARTER,63
KNOX,63
PERRY,62
DAVIESS,62
MASON,61
HOPKINS,61
NELSON,60
ROWAN,60
TAYLOR,60
GRANT,59
JESSAMINE,59
MUHLENBERG,57
CHRISTIAN,56
HARRISON,55
POWELL,55
CARROLL,55
OLDHAM,54
CLARK,51
GREENUP,51
SCOTT,50
MARION,50
WAYNE,50
BATH,49
WOODFORD,48
BOYLE,48
GRAVES,48
GRAYSON,47
SIMPSON,47
JACKSON,46
MERCER,46
MEADE,46
MCCREARY,45
LETCHER,45
KNOTT,45
MAGOFFIN,45
BREATHITT,45
PENDLETON,44
JOHNSON,43
CLAY,43
CASEY,43
LEE,43
LOGAN,43
NICHOLAS,42
HENDERSON,42
LEWIS,41
ALLEN,40
SHELBY,40
OHIO,40
BOURBON,39
MARTIN,39
LINCOLN,39
HENRY,39
LAWRENCE,38
CALLOWAY,38
FLEMING,38
MARSHALL,38
ADAIR,37
ANDERSON,37
LESLIE,37
GARRARD,35
WOLFE,35
CLINTON,35
CUMBERLAND,34
RUSSELL,34
OWEN,34
ESTILL,33
MORGAN,33
CALDWELL,32
LYON,32
BRACKEN,31
TRIMBLE,31
ELLIOTT,29
HART,29
FULTON,28
BUTLER,28
GALLATIN,28
EDMONSON,28
WEBSTER,26
SPENCER,25
BRECKINRIDGE,24
LIVINGSTON,24
TRIGG,23
GREEN,22
CRITTENDEN,21
MENIFEE,20
MONROE,20
UNION,19
TODD,19
WASHINGTON,18
OWSLEY,18
LARUE,17
MCLEAN,16
METCALFE,14
ROBERTSON,12
HICKMAN,9
BALLARD,7
CARLISLE,6
HANCOCK,4
