,Construction,使用年长,Type,Height (feet),Length (feet),Number of Inversions,Drop (feet),G Force,Vertical Angle (degrees),Speed,Time
22,Wood,2.0,0.0,83.0,2290.0,1.0,80.5,2,65.0,45.8,105.0
55,Wood,6.0,0.0,107.0,2937.0,3.0,162,3,81.0,68.0,87
108,Wood,14.0,0.0,136.0,4746.0,1.0,140,3,65.0,60.0,154.0
138,Wood,5.0,0.0,165.0,3100.0,2.0,180,3,85.0,72.0,205.0
146,Wood,3.0,0.0,183.8,4150.3,3.0,160.8,4,83.0,71.5,120
177,Wood,84.0,0.0,55.0,2650.0,0.0,65,2,50.0,50.0,105
185,Wood,95.0,0.0,70.0,2640.0,0.0,65,2,50.0,55.0,112
186,Wood,39.0,0.0,71.0,2670.0,0.0,65,2,50.0,45.0,90
190,Wood,94.0,0.0,73.0,2600.0,0.0,65,2,50.0,55.0,112.0
192,Wood,16.0,0.0,75.0,2600.0,0.0,72,2,53.0,50.0,105.0
194,Wood,55.0,0.0,78.0,2558.0,0.0,72,2,50.0,40.0,105
195,Wood,34.0,0.0,78.0,3200.0,0.0,72,2,45.0,45.0,120
197,Wood,24.0,0.0,80.0,2800.0,0.0,80,2,60.0,48.0,90
198,Wood,79.0,0.0,80.0,2800.0,0.0,80,2,50.0,55.0,120
199,Wood,11.0,0.0,80.0,2900.0,0.0,118,3,60.0,57.0,90
200,Wood,10.0,0.0,80.5,2379.0,0.0,80,2,65.0,45.6,105.0
202,Wood,22.0,0.0,84.0,3127.0,0.0,81,2,53.0,46.0,100
204,Wood,47.0,0.0,88.0,3415.0,0.0,72,2,45.0,53.0,120
206,Wood,33.0,0.0,91.0,3250.0,0.0,92,3,45.0,55.0,160
207,Wood,20.0,0.0,91.2,3605.7,0.0,81.7,2,60.0,49.7,90
209,Wood,10.0,0.0,95.0,2877.0,0.0,87.3,3,65.0,50.1,180
210,Wood,12.0,0.0,96.0,3236.0,0.0,92,2,56.0,51.0,120.0
211,Wood,12.0,0.0,97.5,3113.0,0.0,91.4,2,56.0,51.3,120
212,Wood,22.0,0.0,98.0,4044.0,0.0,88,2,53.0,52.0,125
213,Wood,33.0,0.0,98.0,4000.0,0.0,88,2,45.0,53.0,112
216,Wood,11.0,0.0,98.4,2821.5,0.0,87,3,65.0,55.9,180.0
218,Wood,19.0,0.0,99.0,4042.0,0.0,95,3,70.0,59.0,120
219,Wood,24.0,0.0,100.0,4640.0,0.0,115,3.1,59.0,55.0,150.0
220,Wood,30.0,0.0,100.0,4230.0,0.0,95,2.8,45.0,53.0,133
221,Wood,24.0,0.0,100.0,3458.0,0.0,80,2,53.0,50.0,105
225,Wood,10.0,0.0,102.3,3074.0,0.0,84.9,3,65.0,51.2,150
229,Wood,2.0,0.0,109.2,3265.0,0.0,98,2,56.0,53.0,120
230,Wood,55.0,0.0,110.0,4000.0,0.0,141,3,45.0,52.8,120.0
231,Wood,19.0,0.0,110.0,4725.0,0.0,115,3,59.0,60.0,150
232,Wood,40.0,0.0,110.0,7359.0,0.0,141,3,45.0,64.8,250
233,Wood,3.0,0.0,111.6,3989.5,0.0,91.8,3,60.0,54.1,90
234,Wood,21.0,0.0,118.0,4533.0,0.0,108,3.1,51.0,56.0,160
235,Wood,30.0,0.0,118.1,3937.0,0.0,40,2,45.0,55.9,130
236,Wood,16.0,0.0,118.1,3510.5,0.0,108,3,70.0,55.9,128
237,Wood,17.0,0.0,120.0,4574.0,0.0,120,3,70.0,49.7,120
238,Wood,19.0,0.0,122.0,4631.0,0.0,150,3,52.0,66.3,143.0
240,Wood,38.0,0.0,127.0,4650.0,0.0,147,3,55.0,66.0,143
241,Wood,7.0,0.0,131.3,3444.9,0.0,180,3.5,65.0,62.1,205
243,Wood,27.0,0.0,138.0,5249.3,0.0,140,3,45.0,57.0,154
244,Wood,20.0,0.0,139.1,3380.0,0.0,80,3,60.0,64.0,90.0
249,Wood,13.0,0.0,159.0,6442.0,0.0,154,3,66.0,67.0,165
251,Wood,3.0,0.0,164.1,5111.0,0.0,134.5,4,56.0,62.1,100
256,Wood,13.0,0.0,181.0,4400.0,0.0,176,4,76.0,70.0,102
257,Wood,11.0,0.0,183.8,5383.8,0.0,150.9,3,77.0,64.6,154.0
271,Wood,3.0,0.0,207.0,3800.0,0.0,165,3.5,73.0,73.0,205.0
