,COUNTY
CUYAHOGA,127
MONTGOMERY,120
FRANKLIN,120
HAMILTON,117
LAKE,114
SUMMIT,112
BUTLER,107
MAHONING,101
WARREN,100
ERIE,97
LUCAS,97
STARK,96
LICKING,96
TRUMBULL,95
CLERMONT,93
PORTAGE,92
DELAWARE,92
HANCOCK,91
FAIRFIELD,90
MEDINA,89
MIAMI,88
ASHTABULA,88
GREENE,87
ALLEN,87
WAYNE,85
SCIOTO,85
RICHLAND,84
JACKSON,84
WOOD,84
ASHLAND,83
GUERNSEY,82
DEFIANCE,82
HURON,82
CLINTON,81
GALLIA,81
ROSS,81
MARION,80
COLUMBIANA,80
ATHENS,79
BELMONT,77
SANDUSKY,77
BROWN,76
LORAIN,76
WASHINGTON,74
TUSCARAWAS,74
SENECA,70
CLARK,70
PICKAWAY,70
CRAWFORD,70
HIGHLAND,70
MADISON,69
MUSKINGUM,68
VAN WERT,67
SHELBY,67
UNION,65
ADAMS,65
HARDIN,64
LOGAN,62
JEFFERSON,62
AUGLAIZE,61
MORROW,61
OTTAWA,59
CHAMPAIGN,59
FULTON,57
PERRY,57
DARKE,57
LAWRENCE,56
GEAUGA,56
FAYETTE,55
MERCER,54
PREBLE,54
PIKE,52
HOCKING,51
KNOX,50
MEIGS,49
VINTON,47
WYANDOT,46
MONROE,45
HOLMES,43
COSHOCTON,42
CARROLL,38
MORGAN,34
PAULDING,31
HARRISON,28
HENRY,27
NOBLE,24
WILLIAMS,21
PUTNAM,18
