,COUNTY
ALLEGHENY,127
PHILADELPHIA,126
DELAWARE,117
YORK,110
SCHUYLKILL,101
LUZERNE,99
LANCASTER,97
WESTMORELAND,96
DAUPHIN,95
CHESTER,94
FAYETTE,94
ERIE,94
WASHINGTON,93
BLAIR,88
LEBANON,87
BERKS,86
FRANKLIN,86
CAMBRIA,83
BUCKS,83
BEAVER,82
CRAWFORD,80
MERCER,75
LYCOMING,75
LEHIGH,73
MONROE,72
LACKAWANNA,71
ADAMS,70
LAWRENCE,68
VENANGO,68
CENTRE,67
NORTHUMBERLAND,67
BUTLER,65
ARMSTRONG,65
MCKEAN,64
BRADFORD,62
NORTHAMPTON,60
MIFFLIN,55
PERRY,55
CLEARFIELD,54
SOMERSET,54
WYOMING,53
POTTER,53
JEFFERSON,53
INDIANA,52
SUSQUEHANNA,52
CARBON,52
MONTGOMERY,51
COLUMBIA,49
CLINTON,47
GREENE,46
SNYDER,46
HUNTINGDON,46
WAYNE,45
WARREN,45
BEDFORD,44
CUMBERLAND,44
CLARION,44
ELK,43
TIOGA,42
PIKE,37
JUNIATA,34
UNION,30
FULTON,29
MONTOUR,28
SULLIVAN,14
FOREST,14
CAMERON,11
