,COUNTY
FAIRFAX,117
CHESTERFIELD,105
LOUDOUN,103
PRINCE WILLIAM,103
STAFFORD,102
HENRICO,101
SPOTSYLVANIA,96
ROANOKE,94
FREDERICK,92
SHENANDOAH,90
FAUQUIER,90
WYTHE,90
HANOVER,89
TAZEWELL,88
ARLINGTON,87
CULPEPER,84
WARREN,84
MONTGOMERY,84
FRANKLIN,82
ROCKINGHAM,79
BEDFORD,77
PULASKI,75
CARROLL,73
ORANGE,73
BOTETOURT,69
AUGUSTA,69
RUSSELL,68
WISE,68
HENRY,67
CAROLINE,67
RICHMOND,66
LOUISA,66
SCOTT,65
WASHINGTON,64
AMHERST,63
PAGE,63
ALLEGHANY,63
SMYTH,63
GILES,62
PITTSYLVANIA,62
HALIFAX,61
MECKLENBURG,61
ROCKBRIDGE,60
POWHATAN,59
BUCHANAN,58
WESTMORELAND,58
CAMPBELL,57
GLOUCESTER,57
KING GEORGE,56
YORK,56
ALBEMARLE,54
DICKENSON,54
ISLE OF WIGHT,54
JAMES CITY,53
BUCKINGHAM,52
PRINCE EDWARD,51
PATRICK,51
PRINCE GEORGE,50
VIRGINIA BEACH CITY,50
LEE,50
GRAYSON,49
NEW KENT,48
WINCHESTER CITY,47
FLUVANNA,45
CHESAPEAKE CITY,44
NEWPORT NEWS CITY,44
GREENE,44
CLARKE,43
MADISON,41
NORFOLK CITY,41
ACCOMACK,40
PORTSMOUTH CITY,39
BRUNSWICK,38
GREENSVILLE,38
HAMPTON CITY,38
BLAND,37
LUNENBURG,37
APPOMATTOX,37
DINWIDDIE,36
SUSSEX,35
CUMBERLAND,35
NORTHUMBERLAND,35
MATHEWS,35
CHARLOTTE,34
ESSEX,34
FLOYD,34
SUFFOLK CITY,34
RAPPAHANNOCK,33
KING WILLIAM,33
LYNCHBURG CITY,32
FREDERICKSBURG CITY,31
MIDDLESEX,31
SOUTHAMPTON,31
GOOCHLAND,30
NOTTOWAY,30
NELSON,30
AMELIA,29
FAIRFAX CITY,27
LANCASTER,27
ALEXANDRIA CITY,27
SALEM,26
COLONIAL HEIGHTS CITY,26
BATH,26
CRAIG,26
PETERSBURG CITY,25
DANVILLE CITY,25
BRISTOL,23
CHARLOTTESVILLE CITY,22
NORTHAMPTON,20
HARRISONBURG CITY,20
MARTINSVILLE CITY,20
STAUNTON CITY,19
HOPEWELL CITY,19
KING AND QUEEN,19
RADFORD,18
WAYNESBORO CITY,15
BUENA VISTA CITY,15
MANASSAS CITY,14
POQUOSON CITY,10
FRANKLIN CITY,10
SURRY,9
WILLIAMSBURG CITY,9
CHARLES CITY,9
FALLS CHURCH CITY,8
EMPORIA CITY,7
GALAX CITY,6
BEDFORD CITY,4
HIGHLAND,4
LEXINGTON CITY,3
NORTON CITY,2
COVINGTON CITY,1
