time,data
1473411962, Symbol: APPL Seqno: 0 Price: 1623
1473411962, Symbol: APPL Seqno: 0 Price: 1623
1473411963, Symbol: APPL Seqno: 0 Price: 1623
1473411963, Symbol: APPL Seqno: 0 Price: 1623
1473411963, Symbol: APPL Seqno: 1 Price: 1649
1473411963, Symbol: APPL Seqno: 1 Price: 1649
1473411964, Symbol: APPL Seqno: 1 Price: 1649
1473411964, Symbol: APPL Seqno: 1 Price: 1649
1473411964, Symbol: APPL Seqno: 2 Price: 1642
1473411964, Symbol: APPL Seqno: 2 Price: 1642
1473411965, Symbol: APPL Seqno: 2 Price: 1642
1473411965, Symbol: APPL Seqno: 2 Price: 1642
1473411965, Symbol: APPL Seqno: 3 Price: 1636
1473411965, Symbol: APPL Seqno: 3 Price: 1636
1473411966, Symbol: APPL Seqno: 3 Price: 1636
1473411966, Symbol: APPL Seqno: 3 Price: 1636
1473411966, Symbol: APPL Seqno: 4 Price: 1669
1473411966, Symbol: APPL Seqno: 4 Price: 1669
1473411967, Symbol: APPL Seqno: 4 Price: 1669
1473411967, Symbol: APPL Seqno: 4 Price: 1669
1473411967, Symbol: APPL Seqno: 5 Price: 1639
1473411967, Symbol: APPL Seqno: 5 Price: 1639
1473411968, Symbol: APPL Seqno: 5 Price: 1639
1473411968, Symbol: APPL Seqno: 5 Price: 1639
1473411968, Symbol: APPL Seqno: 6 Price: 1611
1473411968, Symbol: APPL Seqno: 6 Price: 1611
1473411969, Symbol: APPL Seqno: 6 Price: 1611
1473411969, Symbol: APPL Seqno: 6 Price: 1611
1473411969, Symbol: APPL Seqno: 7 Price: 1660
1473411969, Symbol: APPL Seqno: 7 Price: 1660
1473411969, Symbol: APPL Seqno: 7 Price: 1660
1473411970, Symbol: APPL Seqno: 7 Price: 1660
1473411970, Symbol: APPL Seqno: 8 Price: 1657
1473411970, Symbol: APPL Seqno: 8 Price: 1657
1473411971, Symbol: APPL Seqno: 8 Price: 1657
1473411971, Symbol: APPL Seqno: 8 Price: 1657
1473411971, Symbol: APPL Seqno: 9 Price: 1509
1473411971, Symbol: APPL Seqno: 9 Price: 1509
1473411972, Symbol: APPL Seqno: 9 Price: 1509
1473411972, Symbol: APPL Seqno: 9 Price: 1509
1473411972, Symbol: APPL Seqno: 10 Price: 1514
1473411972, Symbol: APPL Seqno: 10 Price: 1514
1473411972, Symbol: APPL Seqno: 10 Price: 1514
1473411973, Symbol: APPL Seqno: 10 Price: 1514
1473411973, Symbol: APPL Seqno: 11 Price: 1676
1473411973, Symbol: APPL Seqno: 11 Price: 1676
1473411974, Symbol: APPL Seqno: 11 Price: 1676
1473411974, Symbol: APPL Seqno: 11 Price: 1676
1473411974, Symbol: APPL Seqno: 12 Price: 1596
1473411974, Symbol: APPL Seqno: 12 Price: 1596
1473411974, Symbol: APPL Seqno: 12 Price: 1596
1473411975, Symbol: APPL Seqno: 12 Price: 1596
1473411975, Symbol: APPL Seqno: 13 Price: 1527
1473411975, Symbol: APPL Seqno: 13 Price: 1527
1473411975, Symbol: APPL Seqno: 13 Price: 1527
1473411975, Symbol: APPL Seqno: 13 Price: 1527
1473411976, Symbol: APPL Seqno: 14 Price: 1643
1473411976, Symbol: APPL Seqno: 14 Price: 1643
1473411976, Symbol: APPL Seqno: 14 Price: 1643
1473411976, Symbol: APPL Seqno: 14 Price: 1643
1473411977, Symbol: APPL Seqno: 15 Price: 1632
1473411977, Symbol: APPL Seqno: 15 Price: 1632
1473411977, Symbol: APPL Seqno: 15 Price: 1632
1473411977, Symbol: APPL Seqno: 15 Price: 1632
1473411978, Symbol: APPL Seqno: 16 Price: 1595
1473411978, Symbol: APPL Seqno: 16 Price: 1595
1473411978, Symbol: APPL Seqno: 16 Price: 1595
1473411979, Symbol: APPL Seqno: 16 Price: 1595
1473411979, Symbol: APPL Seqno: 17 Price: 1565
1473411979, Symbol: APPL Seqno: 17 Price: 1565
1473411979, Symbol: APPL Seqno: 17 Price: 1565
1473411979, Symbol: APPL Seqno: 17 Price: 1565
1473411980, Symbol: APPL Seqno: 18 Price: 1521
1473411980, Symbol: APPL Seqno: 18 Price: 1521
1473411980, Symbol: APPL Seqno: 18 Price: 1521
1473411980, Symbol: APPL Seqno: 18 Price: 1521
1473411981, Symbol: APPL Seqno: 19 Price: 1501
1473411981, Symbol: APPL Seqno: 19 Price: 1501
1473411982, Symbol: APPL Seqno: 19 Price: 1501
1473411982, Symbol: APPL Seqno: 19 Price: 1501
1473411982, Symbol: APPL Seqno: 20 Price: 1579
1473411982, Symbol: APPL Seqno: 20 Price: 1579
1473411982, Symbol: APPL Seqno: 20 Price: 1579
1473411983, Symbol: APPL Seqno: 20 Price: 1579
1473411983, Symbol: APPL Seqno: 21 Price: 1511
1473411983, Symbol: APPL Seqno: 21 Price: 1511
1473411983, Symbol: APPL Seqno: 21 Price: 1511
1473411983, Symbol: APPL Seqno: 21 Price: 1511
1473411984, Symbol: APPL Seqno: 22 Price: 1513
1473411984, Symbol: APPL Seqno: 22 Price: 1513
1473411984, Symbol: APPL Seqno: 22 Price: 1513
1473411985, Symbol: APPL Seqno: 22 Price: 1513
1473411985, Symbol: APPL Seqno: 23 Price: 1687
1473411985, Symbol: APPL Seqno: 23 Price: 1687
1473411985, Symbol: APPL Seqno: 23 Price: 1687
1473411986, Symbol: APPL Seqno: 23 Price: 1687
1473411986, Symbol: APPL Seqno: 24 Price: 1539
1473411986, Symbol: APPL Seqno: 24 Price: 1539
1473411987, Symbol: APPL Seqno: 24 Price: 1539
1473411987, Symbol: APPL Seqno: 24 Price: 1539
1473411987, Symbol: APPL Seqno: 25 Price: 1682
1473411987, Symbol: APPL Seqno: 25 Price: 1682
1473411988, Symbol: APPL Seqno: 25 Price: 1682
1473411988, Symbol: APPL Seqno: 25 Price: 1682
1473411988, Symbol: APPL Seqno: 26 Price: 1534
1473411988, Symbol: APPL Seqno: 26 Price: 1534
1473411988, Symbol: APPL Seqno: 26 Price: 1534
1473411989, Symbol: APPL Seqno: 26 Price: 1534
1473411989, Symbol: APPL Seqno: 27 Price: 1628
1473411989, Symbol: APPL Seqno: 27 Price: 1628
1473411990, Symbol: APPL Seqno: 27 Price: 1628
1473411990, Symbol: APPL Seqno: 27 Price: 1628
1473411990, Symbol: APPL Seqno: 28 Price: 1582
1473411990, Symbol: APPL Seqno: 28 Price: 1582
1473411990, Symbol: APPL Seqno: 28 Price: 1582
1473411991, Symbol: APPL Seqno: 28 Price: 1582
1473411991, Symbol: APPL Seqno: 29 Price: 1540
1473411991, Symbol: APPL Seqno: 29 Price: 1540
1473411991, Symbol: APPL Seqno: 29 Price: 1540
1473411991, Symbol: APPL Seqno: 29 Price: 1540
1473411992, Symbol: APPL Seqno: 30 Price: 1631
1473411992, Symbol: APPL Seqno: 30 Price: 1631
1473411992, Symbol: APPL Seqno: 30 Price: 1631
1473411992, Symbol: APPL Seqno: 30 Price: 1631
1473411993, Symbol: APPL Seqno: 31 Price: 1541
1473411993, Symbol: APPL Seqno: 31 Price: 1541
1473411993, Symbol: APPL Seqno: 31 Price: 1541
1473411994, Symbol: APPL Seqno: 31 Price: 1541
1473411994, Symbol: APPL Seqno: 32 Price: 1593
1473411994, Symbol: APPL Seqno: 32 Price: 1593
1473411995, Symbol: APPL Seqno: 32 Price: 1593
1473411995, Symbol: APPL Seqno: 32 Price: 1593
1473411995, Symbol: APPL Seqno: 33 Price: 1578
1473411996, Symbol: APPL Seqno: 33 Price: 1578
1473411996, Symbol: APPL Seqno: 33 Price: 1578
1473411996, Symbol: APPL Seqno: 33 Price: 1578
1473411996, Symbol: APPL Seqno: 34 Price: 1522
1473411996, Symbol: APPL Seqno: 34 Price: 1522
1473411996, Symbol: APPL Seqno: 34 Price: 1522
1473411997, Symbol: APPL Seqno: 34 Price: 1522
1473411997, Symbol: APPL Seqno: 35 Price: 1543
1473411997, Symbol: APPL Seqno: 35 Price: 1543
1473411998, Symbol: APPL Seqno: 35 Price: 1543
1473411998, Symbol: APPL Seqno: 35 Price: 1543
1473411998, Symbol: APPL Seqno: 36 Price: 1668
1473411998, Symbol: APPL Seqno: 36 Price: 1668
1473411999, Symbol: APPL Seqno: 36 Price: 1668
1473411999, Symbol: APPL Seqno: 36 Price: 1668
1473411999, Symbol: APPL Seqno: 37 Price: 1517
1473411999, Symbol: APPL Seqno: 37 Price: 1517
1473411999, Symbol: APPL Seqno: 37 Price: 1517
1473412000, Symbol: APPL Seqno: 37 Price: 1517
1473412000, Symbol: APPL Seqno: 38 Price: 1573
1473412000, Symbol: APPL Seqno: 38 Price: 1573
1473412000, Symbol: APPL Seqno: 38 Price: 1573
1473412000, Symbol: APPL Seqno: 38 Price: 1573
1473412001, Symbol: APPL Seqno: 39 Price: 1638
1473412001, Symbol: APPL Seqno: 39 Price: 1638
1473412002, Symbol: APPL Seqno: 39 Price: 1638
1473412002, Symbol: APPL Seqno: 39 Price: 1638
1473412002, Symbol: APPL Seqno: 40 Price: 1687
1473412002, Symbol: APPL Seqno: 40 Price: 1687
1473412002, Symbol: APPL Seqno: 40 Price: 1687
1473412002, Symbol: APPL Seqno: 40 Price: 1687
1473412003, Symbol: APPL Seqno: 41 Price: 1662
1473412003, Symbol: APPL Seqno: 41 Price: 1662
1473412003, Symbol: APPL Seqno: 41 Price: 1662
1473412004, Symbol: APPL Seqno: 41 Price: 1662
1473412004, Symbol: APPL Seqno: 42 Price: 1593
1473412005, Symbol: APPL Seqno: 42 Price: 1593
1473412005, Symbol: APPL Seqno: 42 Price: 1593
1473412005, Symbol: APPL Seqno: 42 Price: 1593
1473412005, Symbol: APPL Seqno: 43 Price: 1650
1473412005, Symbol: APPL Seqno: 43 Price: 1650
1473412006, Symbol: APPL Seqno: 43 Price: 1650
1473412006, Symbol: APPL Seqno: 43 Price: 1650
1473412006, Symbol: APPL Seqno: 44 Price: 1683
1473412006, Symbol: APPL Seqno: 44 Price: 1683
