,movie_title,director_name,imdb_score
2765,Towering Inferno             ,John Blanchard,9.5
1937,The Shawshank Redemption ,Frank Darabont,9.3
3466,The Godfather ,Francis Ford Coppola,9.2
4409,Kickboxer: Vengeance ,John Stockwell,9.1
2824,Dekalog             ,,9.1
3207,Dekalog             ,,9.1
66,The Dark Knight ,Christopher Nolan,9.0
2837,The Godfather: Part II ,Francis Ford Coppola,9.0
3481,Fargo             ,,9.0
339,The Lord of the Rings: The Return of the King ,Peter Jackson,8.9
4822,12 Angry Men ,Sidney Lumet,8.9
4498,"The Good, the Bad and the Ugly ",Sergio Leone,8.9
3355,Pulp Fiction ,Quentin Tarantino,8.9
1874,Schindler's List ,Steven Spielberg,8.9
683,Fight Club ,David Fincher,8.8
836,Forrest Gump ,Robert Zemeckis,8.8
270,The Lord of the Rings: The Fellowship of the Ring ,Peter Jackson,8.8
2051,Star Wars: Episode V - The Empire Strikes Back ,Irvin Kershner,8.8
97,Inception ,Christopher Nolan,8.8
1842,It's Always Sunny in Philadelphia             ,,8.8
459,Daredevil             ,,8.8
1620,Friday Night Lights             ,,8.7
1818,The Honeymooners             ,,8.7
654,The Matrix ,Lana Wachowski,8.7
4468,Queen of the Mountains ,Sadyk Sher-Niyaz,8.7
3867,One Flew Over the Cuckoo's Nest ,Milos Forman,8.7
340,The Lord of the Rings: The Two Towers ,Peter Jackson,8.7
3024,Star Wars: Episode IV - A New Hope ,George Lucas,8.7
4747,Seven Samurai ,Akira Kurosawa,8.7
4924,Butterfly Girl ,Cary Bell,8.7
4372,A Beginner's Guide to Snuff ,Mitchell Altieri,8.7
3579,Gomorrah             ,,8.7
1903,Goodfellas ,Martin Scorsese,8.7
4029,City of God ,Fernando Meirelles,8.7
648,Saving Private Ryan ,Steven Spielberg,8.6
1600,Se7en ,David Fincher,8.6
3175,American History X ,Tony Kaye,8.6
2373,Spirited Away ,Hayao Miyazaki,8.6
1499,Luther             ,,8.6
404,Hannibal             ,,8.6
2158,The Silence of the Lambs ,Jonathan Demme,8.6
4049,It's a Wonderful Life ,Frank Capra,8.6
96,Interstellar ,Christopher Nolan,8.6
4526,Casablanca ,Michael Curtiz,8.6
3766,Once Upon a Time in the West ,Sergio Leone,8.6
4427,Modern Times ,Charles Chaplin,8.6
