,YYYY,State,COUNTY,FIPS_State,FIPS_County,FIPS_Combined,SubstanceName,DrugReports,TotalDrugReportsCounty,TotalDrugReportsState,lat,lon,Rat
1,2010,OH,ADAMS,39,1,39001,Morphine,9,527,70999,38.85,-83.46667,0.007422639755489514
10,2010,OH,ASHLAND,39,5,39005,Oxycodone,45,766,70999,40.81667,-82.26666999999999,0.010788884350483809
11,2010,OH,ASHLAND,39,5,39005,Oxymorphone,2,766,70999,40.81667,-82.26666999999999,0.010788884350483809
12,2010,OH,ASHTABULA,39,7,39007,Buprenorphine,7,571,70999,41.7,-80.76666999999999,0.008042366793898506
13,2010,OH,ASHTABULA,39,7,39007,Hydrocodone,21,571,70999,41.7,-80.76666999999999,0.008042366793898506
14,2010,OH,ATHENS,39,9,39009,Heroin,72,664,70999,39.35,-82.05,0.009352244397808419
15,2010,OH,ATHENS,39,9,39009,Propoxyphene,1,664,70999,39.35,-82.05,0.009352244397808419
16,2010,OH,AUGLAIZE,39,11,39011,Heroin,35,184,70999,40.55,-84.25028,0.002591585796983056
17,2010,OH,AUGLAIZE,39,11,39011,Methadone,1,184,70999,40.55,-84.25028,0.002591585796983056
18,2010,OH,AUGLAIZE,39,11,39011,Propoxyphene,2,184,70999,40.55,-84.25028,0.002591585796983056
36,2010,OH,BROWN,39,15,39015,Fentanyl,1,213,70999,38.93333,-83.86667,0.003000042254116255
37,2010,OH,BROWN,39,15,39015,Heroin,14,213,70999,38.93333,-83.86667,0.003000042254116255
43,2010,OH,BUTLER,39,17,39017,Buprenorphine,15,1825,70999,39.45,-84.56667,0.02570458738855477
44,2010,OH,BUTLER,39,17,39017,Hydrocodone,80,1825,70999,39.45,-84.56667,0.02570458738855477
57,2010,OH,CARROLL,39,19,39019,Oxycodone,2,57,70999,40.56667,-81.08333,0.0008028282088480119
69,2010,OH,CLERMONT,39,25,39025,Methadone,17,752,70999,39.05,-84.15,0.010591698474626403
70,2010,OH,CLINTON,39,27,39027,Methadone,5,455,70999,39.4,-83.81667,0.006408540965365709
74,2010,OH,COLUMBIANA,39,29,39029,Heroin,34,341,70999,40.75028,-80.75028,0.004802884547669685
75,2010,OH,COLUMBIANA,39,29,39029,Methadone,1,341,70999,40.75028,-80.75028,0.004802884547669685
76,2010,OH,CRAWFORD,39,33,39033,Morphine,3,218,70999,40.85,-82.91667,0.003070465781208186
