,YYYY,State,COUNTY,FIPS_State,FIPS_County,FIPS_Combined,SubstanceName,DrugReports,TotalDrugReportsCounty,TotalDrugReportsState,lat,lon,Rat
2,2010,PA,ADAMS,42,1,42001,Methadone,2,334,89981,39.75028,-77.37528,0.0037118947333325924
4,2010,PA,ALLEGHENY,42,3,42003,Hydromorphone,5,8500,89981,40.62528,-80.12528,0.09446438692612885
9,2010,PA,ARMSTRONG,42,5,42005,Dextropropoxyphene,1,344,89981,41.12528,-79.68333,0.003823029306186862
23,2010,PA,BEDFORD,42,9,42009,Hydrocodone,3,150,89981,40.25028,-78.62528,0.0016670185928140385
28,2010,PA,BERKS,42,11,42011,Morphine,5,2146,89981,40.62528,-75.87528,0.023849479334526177
40,2010,PA,BUCKS,42,17,42017,Hydromorphone,5,6140,89981,40.50028,-75.37528,0.06823662773252132
41,2010,PA,BUCKS,42,17,42017,Methadone,32,6140,89981,40.50028,-75.37528,0.06823662773252132
45,2010,PA,BUTLER,42,19,42019,Oxycodone,9,310,89981,41.12528,-80.00028,0.0034451717584823463
46,2010,PA,BUTLER,42,19,42019,Oxymorphone,2,310,89981,41.12528,-80.00028,0.0034451717584823463
49,2010,PA,CAMBRIA,42,21,42021,Oxycodone,44,483,89981,40.62528,-78.75028,0.005367799868861204
50,2010,PA,CAMERON,42,23,42023,Heroin,1,7,89981,41.50028,-78.37528,7.779420099798847e-05
51,2010,PA,CAMERON,42,23,42023,Oxycodone,2,7,89981,41.50028,-78.37528,7.779420099798847e-05
52,2010,PA,CARBON,42,25,42025,Heroin,20,209,89981,41.12528,-75.675,0.002322712572654227
53,2010,PA,CARBON,42,25,42025,Propoxyphene,1,209,89981,41.12528,-75.675,0.002322712572654227
62,2010,PA,CHESTER,42,29,42029,Heroin,95,1979,89981,40.12528,-75.87528,0.021993531967859883
67,2010,PA,CLARION,42,31,42031,Heroin,35,221,89981,41.37528,-79.37528,0.0024560740600793503
68,2010,PA,CLEARFIELD,42,33,42033,Buprenorphine,11,218,89981,41.12528,-78.75028,0.0024227336882230695
72,2010,PA,COLUMBIA,42,37,42037,Fentanyl,1,131,89981,41.25028,-76.37528,0.001455862904390927
73,2010,PA,COLUMBIA,42,37,42037,Heroin,29,131,89981,41.25028,-76.37528,0.001455862904390927
77,2010,PA,CRAWFORD,42,39,42039,Dihydromorphone,1,433,89981,41.75028,-80.50028,0.004812127004589858
78,2010,PA,CRAWFORD,42,39,42039,Fentanyl,2,433,89981,41.75028,-80.50028,0.004812127004589858
79,2010,PA,CRAWFORD,42,39,42039,Propoxyphene,2,433,89981,41.75028,-80.50028,0.004812127004589858
85,2010,PA,DAUPHIN,42,43,42043,Codeine,3,2575,89981,40.62778,-76.75278,0.028617152509974327
90,2010,PA,DELAWARE,42,45,42045,Buprenorphine,97,4534,89981,40.00028,-75.37528,0.05038841533212567
91,2010,PA,DELAWARE,42,45,42045,Hydrocodone,61,4534,89981,40.00028,-75.37528,0.05038841533212567
96,2010,PA,ERIE,42,49,42049,Methadone,2,1570,89981,41.12528,-80.00028,0.01744812793812027
102,2010,PA,ADAMS,42,1,42001,Oxymorphone,1,334,89981,39.75028,-77.37528,0.0037118947333325924
107,2010,PA,ALLEGHENY,42,3,42003,Fentanyl,3,8500,89981,40.62528,-80.12528,0.09446438692612885
108,2010,PA,ALLEGHENY,42,3,42003,Morphine,20,8500,89981,40.62528,-80.12528,0.09446438692612885
119,2010,PA,BEAVER,42,7,42007,Codeine,2,625,89981,40.75028,-80.50028,0.0069459108033918275
120,2010,PA,BEAVER,42,7,42007,Oxymorphone,2,625,89981,40.75028,-80.50028,0.0069459108033918275
121,2010,PA,BEDFORD,42,9,42009,Buprenorphine,6,150,89981,40.25028,-78.62528,0.0016670185928140385
139,2010,PA,BUCKS,42,17,42017,Codeine,13,6140,89981,40.50028,-75.37528,0.06823662773252132
143,2010,PA,CAMERON,42,23,42023,Buprenorphine,1,7,89981,41.50028,-78.37528,7.779420099798847e-05
151,2010,PA,CENTRE,42,27,42027,Buprenorphine,11,1028,89981,41.25028,-77.9,0.011424634089418878
155,2010,PA,CHESTER,42,29,42029,Hydrocodone,23,1979,89981,40.12528,-75.87528,0.021993531967859883
156,2010,PA,CHESTER,42,29,42029,Oxycodone,82,1979,89981,40.12528,-75.87528,0.021993531967859883
160,2010,PA,CLEARFIELD,42,33,42033,Oxycodone,13,218,89981,41.12528,-78.75028,0.0024227336882230695
161,2010,PA,CLEARFIELD,42,33,42033,Oxymorphone,1,218,89981,41.12528,-78.75028,0.0024227336882230695
