,YYYY,State,COUNTY,FIPS_State,FIPS_County,FIPS_Combined,SubstanceName,DrugReports,TotalDrugReportsCounty,TotalDrugReportsState,lat,lon,Rat
0,2010,VA,ACCOMACK,51,1,51001,Propoxyphene,1,84,41462,37.75,-75.66667,0.0020259514736385123
3,2010,VA,ALEXANDRIA CITY,51,510,51510,Heroin,5,427,41462,40.62528,-80.12528,0.010298586657662439
7,2010,VA,AMELIA,51,7,51007,Heroin,1,94,41462,37.35,-78.01666999999999,0.0022671361728811923
8,2010,VA,ARLINGTON,51,13,51013,Heroin,41,610,41462,38.86667,-77.1,0.014712266653803483
24,2010,VA,BEDFORD,51,19,51019,Meperidine,1,177,41462,37.3,-79.56667,0.004268969176595437
29,2010,VA,BLAND,51,21,51021,Propoxyphene,1,25,41462,37.15,-81.13333,0.0006029617481067001
38,2010,VA,BUCKINGHAM,51,29,51029,Heroin,1,136,41462,37.55,-78.56667,0.0032801119097004487
39,2010,VA,BUCKINGHAM,51,29,51029,Methadone,2,136,41462,37.55,-78.56667,0.0032801119097004487
54,2010,VA,CAROLINE,51,33,51033,Hydrocodone,5,138,41462,38.03333,-77.35,0.0033283488495489846
55,2010,VA,CAROLINE,51,33,51033,Oxycodone,8,138,41462,38.03333,-77.35,0.0033283488495489846
60,2010,VA,CHARLOTTESVILLE CITY,51,540,51540,Buprenorphine,1,264,41462,40.00028,-80.96667,0.006367276060006753
61,2010,VA,CHESAPEAKE CITY,51,550,51550,Methadone,3,881,41462,40.55,-84.25028,0.02124837200328011
63,2010,VA,CHESTERFIELD,51,41,51041,Hydromorphone,5,1331,41462,37.38333,-77.6,0.03210168346920071
64,2010,VA,CHESTERFIELD,51,41,51041,Morphine,9,1331,41462,37.38333,-77.6,0.03210168346920071
71,2010,VA,COLONIAL HEIGHTS CITY,51,570,51570,Morphine,2,190,41462,37.4315734,-78.65689420000001,0.0045825092856109206
84,2010,VA,DANVILLE CITY,51,590,51590,Oxycodone,6,332,41462,40.75028,-80.75028,0.008007332014856977
92,2010,VA,DICKENSON,51,51,51051,Buprenorphine,14,103,41462,37.13333,-82.35,0.0024842024021996044
97,2010,VA,ESSEX,51,57,51057,Hydromorphone,2,94,41462,37.95,-76.95,0.0022671361728811923
98,2010,VA,FAIRFAX,51,59,51059,Fentanyl,2,3337,41462,38.85,-77.35,0.08048333413728233
99,2010,VA,FAIRFAX,51,59,51059,Oxycodone,167,3337,41462,38.85,-77.35,0.08048333413728233
100,2010,VA,ACCOMACK,51,1,51001,Oxycodone,1,84,41462,37.75,-75.66667,0.0020259514736385123
