,YYYY,State,COUNTY,FIPS_State,FIPS_County,FIPS_Combined,SubstanceName,DrugReports,TotalDrugReportsCounty,TotalDrugReportsState,lat,lon,Rat
19,2010,WV,BARBOUR,54,1,54001,Oxycodone,1,16,8668,39.13333,-80.03333,0.0018458698661744347
27,2010,WV,BERKELEY,54,3,54003,Hydrocodone,6,722,8668,39.45,-78.03333,0.08329487771112136
31,2010,WV,BOONE,54,5,54005,Fentanyl,1,90,8668,38.01667,-81.7,0.010383017997231195
33,2010,WV,BRAXTON,54,7,54007,Hydrocodone,35,167,8668,38.71667,-80.7,0.01926626672819566
47,2010,WV,CABELL,54,11,54011,Oxycodone,116,517,8668,38.43333,-82.25,0.05964467005076142
48,2010,WV,CALHOUN,54,13,54013,Oxycodone,1,8,8668,38.83333,-81.11667,0.0009229349330872173
93,2010,WV,DODDRIDGE,54,17,54017,Oxycodone,2,16,8668,39.26667,-80.7,0.0018458698661744347
125,2010,WV,BERKELEY,54,3,54003,Heroin,146,722,8668,39.45,-78.03333,0.08329487771112136
223,2010,WV,BERKELEY,54,3,54003,Oxycodone,9,722,8668,39.45,-78.03333,0.08329487771112136
246,2010,WV,CALHOUN,54,13,54013,Hydrocodone,1,8,8668,38.83333,-81.11667,0.0009229349330872173
247,2010,WV,CALHOUN,54,13,54013,Morphine,1,8,8668,38.83333,-81.11667,0.0009229349330872173
328,2010,WV,BERKELEY,54,3,54003,Buprenorphine,7,722,8668,39.45,-78.03333,0.08329487771112136
329,2010,WV,BERKELEY,54,3,54003,Dextropropoxyphene,1,722,8668,39.45,-78.03333,0.08329487771112136
334,2010,WV,BOONE,54,5,54005,Oxymorphone,2,90,8668,38.01667,-81.7,0.010383017997231195
340,2010,WV,BRAXTON,54,7,54007,Buprenorphine,1,167,8668,38.71667,-80.7,0.01926626672819566
343,2010,WV,BROOKE,54,9,54009,Hydrocodone,3,9,8668,40.28333,-80.56667,0.0010383017997231195
355,2010,WV,CABELL,54,11,54011,Hydrocodone,16,517,8668,38.43333,-82.25,0.05964467005076142
374,2010,WV,CLAY,54,15,54015,Hydrocodone,9,50,8668,38.48333,-81.06667,0.005768343331795108
424,2010,WV,BERKELEY,54,3,54003,Oxymorphone,1,722,8668,39.45,-78.03333,0.08329487771112136
437,2010,WV,BRAXTON,54,7,54007,Oxycodone,17,167,8668,38.71667,-80.7,0.01926626672819566
450,2010,WV,CABELL,54,11,54011,Heroin,23,517,8668,38.43333,-82.25,0.05964467005076142
498,2010,WV,DODDRIDGE,54,17,54017,Hydrocodone,6,16,8668,39.26667,-80.7,0.0018458698661744347
523,2010,WV,BARBOUR,54,1,54001,Buprenorphine,1,16,8668,39.13333,-80.03333,0.0018458698661744347
529,2010,WV,BERKELEY,54,3,54003,Methorphan,1,722,8668,39.45,-78.03333,0.08329487771112136
532,2010,WV,BOONE,54,5,54005,Oxycodone,22,90,8668,38.01667,-81.7,0.010383017997231195
539,2010,WV,BRAXTON,54,7,54007,Morphine,7,167,8668,38.71667,-80.7,0.01926626672819566
550,2010,WV,CABELL,54,11,54011,Buprenorphine,3,517,8668,38.43333,-82.25,0.05964467005076142
551,2010,WV,CABELL,54,11,54011,Morphine,8,517,8668,38.43333,-82.25,0.05964467005076142
635,2010,WV,BOONE,54,5,54005,Morphine,1,90,8668,38.01667,-81.7,0.010383017997231195
729,2010,WV,BERKELEY,54,3,54003,Morphine,2,722,8668,39.45,-78.03333,0.08329487771112136
733,2010,WV,BOONE,54,5,54005,Hydrocodone,14,90,8668,38.01667,-81.7,0.010383017997231195
738,2010,WV,BRAXTON,54,7,54007,Hydromorphone,1,167,8668,38.71667,-80.7,0.01926626672819566
830,2010,WV,GRANT,54,23,54023,Heroin,2,95,8668,39.11667,-79.2,0.010959852330410707
837,2010,WV,GREENBRIER,54,25,54025,Morphine,3,254,8668,37.95,-80.41667,0.02930318412551915
851,2010,WV,HARDY,54,31,54031,Oxycodone,4,76,8668,39.01667,-78.81667,0.008767881864328565
852,2010,WV,HARRISON,54,33,54033,Hydromorphone,2,196,8668,39.28333,-80.38333,0.022611905860636824
867,2010,WV,JACKSON,54,35,54035,Hydrocodone,2,116,8668,38.83333,-81.68333,0.01338255652976465
875,2010,WV,JEFFERSON,54,37,54037,Buprenorphine,4,133,8668,39.3,-77.85,0.01534379326257499
898,2010,WV,LOGAN,54,45,54045,Buprenorphine,11,307,8668,37.83333,-81.93333,0.03541762805722196
926,2010,WV,GRANT,54,23,54023,Hydrocodone,10,95,8668,39.11667,-79.2,0.010959852330410707
929,2010,WV,GREENBRIER,54,25,54025,Hydromorphone,2,254,8668,37.95,-80.41667,0.02930318412551915
938,2010,WV,HANCOCK,54,29,54029,Heroin,79,152,8668,40.50056,-80.56667,0.01753576372865713
944,2010,WV,HARDY,54,31,54031,Buprenorphine,1,76,8668,39.01667,-78.81667,0.008767881864328565
947,2010,WV,HARRISON,54,33,54033,Methadone,1,196,8668,39.28333,-80.38333,0.022611905860636824
969,2010,WV,JEFFERSON,54,37,54037,Oxycodone,6,133,8668,39.3,-77.85,0.01534379326257499
971,2010,WV,KANAWHA,54,39,54039,Heroin,72,1440,8668,38.33333,-81.56667,0.16612828795569912
972,2010,WV,KANAWHA,54,39,54039,Methadone,1,1440,8668,38.33333,-81.56667,0.16612828795569912
999,2010,WV,LOGAN,54,45,54045,Oxycodone,93,307,8668,37.83333,-81.93333,0.03541762805722196
1000,2010,WV,LOGAN,54,45,54045,Oxymorphone,1,307,8668,37.83333,-81.93333,0.03541762805722196
1003,2010,WV,FAYETTE,54,19,54019,Oxycodone,15,135,8668,38.05,-81.1,0.015574526995846792
1018,2010,WV,GRANT,54,23,54023,Hydromorphone,3,95,8668,39.11667,-79.2,0.010959852330410707
1032,2010,WV,HANCOCK,54,29,54029,Hydrocodone,4,152,8668,40.50056,-80.56667,0.01753576372865713
1038,2010,WV,HARDY,54,31,54031,Dextropropoxyphene,2,76,8668,39.01667,-78.81667,0.008767881864328565
