type,latitude,longitude,name,city,county,state,country,fips_combined,fips_county,fips_state
W,40.62528,-80.12528,"Allegheny County, PA",Allegheny County,ALLEGHENY,PA,us,42003,3,42
W,37.00222,-79.86667,"Franklin County, VA",Franklin County,FRANKLIN,VA,us,51067,67,51
W,40.81667,-82.26667,"Ashland County, OH",Ashland County,ASHLAND,OH,us,39005,5,39
W,40.76667,-84.08333,"Allen County, OH",Allen County,ALLEN,OH,us,39003,3,39
W,40.00028,-80.96667,"Belmont County, OH",Belmont County,BELMONT,OH,us,39013,13,39
W,40.55,-84.25028,"Auglaize County, OH",Auglaize County,AUGLAIZE,OH,us,39011,11,39
W,39.75028,-82.6,"Fairfield County, OH",Fairfield County,FAIRFIELD,OH,us,39045,45,39
W,40.75028,-80.75028,"Columbiana County, OH",Columbiana County,COLUMBIANA,OH,us,39029,29,39
W,40.26667,-83.00028,"Delaware County, OH",Delaware County,DELAWARE,OH,us,39041,41,39
W,41.43333,-81.66667,"Cuyahoga County, OH",Cuyahoga County,CUYAHOGA,OH,us,39035,35,39
W,39.18333,-84.53333,"Hamilton County, OH",Hamilton County,HAMILTON,OH,us,39061,61,39
W,41.35,-82.6,"Erie County, OH",Erie County,ERIE,OH,us,39043,43,39
W,41.01667,-83.66667,"Hancock County, OH",Hancock County,HANCOCK,OH,us,39063,63,39
W,41.33333,-82.15,"Lorain County, OH",Lorain County,LORAIN,OH,us,39093,93,39
W,39.51667,-82.46667,"Hocking County, OH",Hocking County,HOCKING,OH,us,39073,73,39
W,41.15,-82.55,"Huron County, OH",Huron County,HURON,OH,us,39077,77,39
W,41.65,-83.66667,"Lucas County, OH",Lucas County,LUCAS,OH,us,39095,95,39
W,40.4,-82.37222,"Knox County, OH",Knox County,KNOX,OH,us,39083,83,39
W,41.63333,-81.38333,"Lake County, OH",Lake County,LAKE,OH,us,39085,85,39
W,41.1,-81.88333,"Medina County, OH",Medina County,MEDINA,OH,us,39103,103,39
W,39.96667,-83.01667,"Franklin County, OH",Franklin County,FRANKLIN,OH,us,39049,49,39
W,40.65,-83.66667,"Hardin County, OH",Hardin County,HARDIN,OH,us,39065,65,39
W,40.55,-84.63333,"Mercer County, OH",Mercer County,MERCER,OH,us,39107,107,39
W,40.08333,-82.50028,"Licking County, OH",Licking County,LICKING,OH,us,39089,89,39
W,40.58333,-83.16667,"Marion County, OH",Marion County,MARION,OH,us,39101,101,39
W,41.35,-83.13333,"Sandusky County, OH",Sandusky County,SANDUSKY,OH,us,39143,143,39
W,41.11667,-81.53333,"Summit County, OH",Summit County,SUMMIT,OH,us,39153,153,39
W,40.53333,-82.78333,"Morrow County, OH",Morrow County,MORROW,OH,us,39117,117,39
W,41.16667,-81.2,"Portage County, OH",Portage County,PORTAGE,OH,us,39133,133,39
W,40.85,-83.28333,"Wyandot County, OH",Wyandot County,WYANDOT,OH,us,39175,175,39
W,40.83333,-81.88333,"Wayne County, OH",Wayne County,WAYNE,OH,us,39169,169,39
W,40.3,-83.38333,"Union County, OH",Union County,UNION,OH,us,39159,159,39
W,41.53333,-83.1,"Ottawa County, OH",Ottawa County,OTTAWA,OH,us,39123,123,39
W,41.03333,-80.76667,"Mahoning County, OH",Mahoning County,MAHONING,OH,us,39099,99,39
W,40.86667,-84.58333,"Van Wert County, OH",Van Wert County,VAN WERT,OH,us,39161,161,39
W,39.35,-83.06667,"Ross County, OH",Ross County,ROSS,OH,us,39141,141,39
W,40.81667,-81.36667,"Stark County, OH",Stark County,STARK,OH,us,39151,151,39
W,41.7,-80.76667,"Ashtabula County, OH",Ashtabula County,ASHTABULA,OH,us,39007,7,39
