
 ,url,公司,地方,时间,福利,职位,薪水
0,http://gz.ganji.com/zpjisuanjiwangluo/2444560665x.htm,广州市铂桥信息科技有限公司,天河-天河北,今天,五险一金、包吃住、带薪年假、,软件开发实习生,3000-5000元
1,http://gz.ganji.com/zpjisuanjiwangluo/2938985551x.htm,广州市铂桥信息科技有限公司,天河-天河北,今天,五险一金、包吃住、带薪年假、,软件开发培训储备生,3000-5000元
2,http://gz.ganji.com/zpjisuanjiwangluo/2891288622x.htm,广州市铂桥信息科技有限公司,天河-天河北,今天,五险一金、包吃住、带薪年假、,游戏软件工程师储备岗,5000-8000元
3,http://gz.ganji.com/zpjisuanjiwangluo/2923561933x.htm,北京汇众益智科技有限公司成都分公司,荔湾,今天,带薪年假、餐补、养老保险、,软件开发实习生包住,5000-8000元
4,http://gz.ganji.com/zpjisuanjiwangluo/2921310580x.htm,北京汇众益智科技有限公司成都分公司,海珠,今天,带薪年假、餐补、养老保险、,Unity3D开发学徒,5000-8000元
5,http://gz.ganji.com/zpjisuanjiwangluo/2506760086x.htm,广州市铂桥信息科技有限公司,天河-天河北,今天,五险一金、包吃住、带薪年假、,移动通信类软件开发工程师实训岗,3000-5000元
6,http://gz.ganji.com/zpjisuanjiwangluo/2831035004x.htm,广州优才创智科技有限公司,天河-中山大道,今天,五险一金、带薪年假、餐补、,计算机软件编程(双休+五险一金),3000-5000元
7,http://gz.ganji.com/zpjisuanjiwangluo/2525680653x.htm,广州市绿凯软件有限公司,天河-东圃,今天,五险、带薪年假、做五休二、,软件工程师,5000-8000元
8,http://gz.ganji.com/zpjisuanjiwangluo/3221416817x.htm,广州拓欧信息技术有限公司,萝岗,昨天,做五休二、,开发工程师,8000-12000元
9,http://gz.ganji.com/zpjisuanjiwangluo/3138519904x.htm,广州拓欧信息技术有限公司,萝岗,昨天,做五休二、,开发工程师,8000-12000元
10,http://gz.ganji.com/zpjisuanjiwangluo/3221028449x.htm,广州海度网络科技有限公司,天河-黄村,昨天,五险一金、包吃住、带薪年假、,急招Python开发助理/周末双...,3000-5000元
11,http://gz.ganji.com/zpjisuanjiwangluo/3216768128x.htm,广州海度网络科技有限公司,海珠-客村,05-07,五险一金、包吃住、带薪年假、,HTML开发工程师助理/双休,3000-5000元
12,http://gz.ganji.com/zpjisuanjiwangluo/3125567487x.htm,广州海度网络科技有限公司,天河-石牌,05-07,五险一金、包吃住、带薪年假、,游戏开发工程师实习生,5000-8000元
13,http://gz.ganji.com/zpjisuanjiwangluo/3133463230x.htm,广州海度网络科技有限公司,天河-东圃,05-07,五险一金、包吃住、带薪年假、,PHP软件开发+周末双休,3000-5000元
14,http://gz.ganji.com/zpjisuanjiwangluo/3125354013x.htm,广州海度网络科技有限公司,天河-东圃,05-07,包吃住、带薪年假、餐补、,Python软件开发,3000-5000元
15,http://gz.ganji.com/zpjisuanjiwangluo/3124231483x.htm,广州六道信息科技有限公司,天河-珠江新城,05-04,五险一金、带薪年假、做五休二、,java实习生,3000-5000元
16,http://gz.ganji.com/zpjisuanjiwangluo/3205682213x.htm,广州海度网络科技有限公司,番禺-大石,05-04,五险一金、包吃住、带薪年假、,急招html开发助理/双休五险一...,3000-5000元
17,http://gz.ganji.com/zpjisuanjiwangluo/3205647935x.htm,广州海度网络科技有限公司,番禺-大石,05-04,五险一金、包吃住、带薪年假、,急招网络工程师助理/双休五险一金,3000-5000元
18,http://gz.ganji.com/zpjisuanjiwangluo/3080668731x.htm,广州连线医疗科技有限公司,天河-元岗,04-27,五险一金、做五休二、年底双薪、,软件开发工程师,5000-8000元
19,http://gz.ganji.com/zpjisuanjiwangluo/3165874745x.htm,广州六道信息科技有限公司,天河-珠江新城,04-26,五险一金、带薪年假、做五休二、,JAVA初级工程师,3000-5000元
20,http://gz.ganji.com/zpjisuanjiwangluo/3058062675x.htm,问鼎信息科技（广州）有限公司,番禺,04-23,包吃住、交通补助、加班补助、,Java高级开发工程师,8000-12000元
21,http://gz.ganji.com/zpjisuanjiwangluo/2892887518x.htm,广州普钧信息科技有限公司,番禺-桥南,04-20,五险、餐补、交通补助、,程序员（番禺）,3000-5000元
22,http://gz.ganji.com/zpjisuanjiwangluo/3121437185x.htm,广州科众计算机科技有限公司,天河-上社,04-16,养老保险、加班补助、,软件客户维护服务工程师,面谈
23,http://gz.ganji.com/zpjisuanjiwangluo/3030319779x.htm,广州科众计算机科技有限公司,天河-上社,04-16,养老保险、年底双薪、,软件维护工程师,面谈
24,http://gz.ganji.com/zpjisuanjiwangluo/3121216961x.htm,广州海度网络科技有限公司,天河,04-16,五险一金、包吃住、带薪年假、,web前端开发工程师/实习生亦可,5000-8000元
25,http://gz.ganji.com/zpjisuanjiwangluo/2998839945x.htm,深圳市帝恩多电子商贸有限公司,天河-岗顶,04-04,包住、养老保险、医疗保险、,招聘NET程序员,12000-20000元
26,http://gz.ganji.com/zpjisuanjiwangluo/2998839930x.htm,深圳市帝恩多电子商贸有限公司,揭阳,04-04,包住、养老保险、医疗保险、,招聘NET程序员,12000-20000元
27,http://gz.ganji.com/zpjisuanjiwangluo/3021637400x.htm,广州携管计算机服务有限公司,花都-狮岭,03-31,五险、包吃、带薪年假、,钉钉部署专员,5000-8000元
28,http://gz.ganji.com/zpjisuanjiwangluo/2966794980x.htm,广州贝德软件有限公司,番禺-大石,03-28,五险、带薪年假、餐补、,donet软件工程师,面谈
29,http://gz.ganji.com/zpjisuanjiwangluo/3059658698x.htm,广州市联科软件有限公司,天河,03-23,五险、带薪年假、做五休二、,高级JAVA工程师,12000-20000元
30,http://gz.ganji.com/zpjisuanjiwangluo/2968644651x.htm,广州市联科软件有限公司,天河,03-23,五险、带薪年假、做五休二、,JAVA中级工程师,8000-12000元
31,http://gz.ganji.com/zpjisuanjiwangluo/2976239941x.htm,广州市密特仪表科技有限公司,增城-新塘,03-23,五险、包住、带薪年假、,软件工程师,8000-12000元
32,http://gz.ganji.com/zpjisuanjiwangluo/1736455612x.htm,广州直行网络科技有限公司,白云-永泰,03-08,五险、包住、带薪年假、,应届PHP实习生双休包住提供实习...,3000-5000元
33,http://gz.ganji.com/zpjisuanjiwangluo/3025700993x.htm,广东南壹信息科技有限公司,天河,03-01,五险、,.net开发工程师,5000-8000元
34,http://gz.ganji.com/zpjisuanjiwangluo/3023020358x.htm,广州市天科思诺信息技术有限公司,天河-中山大道,02-26,五险、带薪年假、餐补、,软件工程师,面谈
35,http://gz.ganji.com/zpjisuanjiwangluo/3023020337x.htm,广州市天科思诺信息技术有限公司,天河-中山大道,02-26,五险、带薪年假、餐补、,软件工程师,面谈
